originalType;modifiedType
THUNDERSTORMWINDS;THUNDERSTORM WIND
THUNDERSTROM WIND;THUNDERSTORM WIND
THUNDERSTROM WINDS;THUNDERSTORM WIND
THUNDERTORM WINDS;THUNDERSTORM WIND
THUNDERTSORM WIND;THUNDERSTORM WIND
THUNDESTORM WINDS;THUNDERSTORM WIND
THUNERSTORM WINDS;THUNDERSTORM WIND
TIDAL FLOOD;COASTAL FLOOD
TIDAL FLOODING;COASTAL FLOOD
TORNADO DEBRIS;TORNADO
TORNADO F0;TORNADO
TORNADO F1;TORNADO
TORNADO F2;TORNADO
TORNADO F3;TORNADO
TORNADO/WATERSPOUT;TORNADO
TORNADOES;TORNADO
TORNADOES, TSTM WIND, HAIL;TORNADO
TORNADOS;TORNADO
TORNDAO;TORNADO
TORRENTIAL RAIN;HEAVY RAIN
TORRENTIAL RAINFALL;HEAVY RAIN
TROPICAL STORM ALBERTO;TROPICAL STORM
TROPICAL STORM DEAN;TROPICAL STORM
TROPICAL STORM GORDON;TROPICAL STORM
TROPICAL STORM JERRY;TROPICAL STORM
TSTM;THUNDERSTORM WIND
TSTM HEAVY RAIN;THUNDERSTORM WIND
TSTM WIND;THUNDERSTORM WIND
TSTM WIND  (G45);THUNDERSTORM WIND
TSTM WIND (41);THUNDERSTORM WIND
TSTM WIND (G35);THUNDERSTORM WIND
TSTM WIND (G40);THUNDERSTORM WIND
TSTM WIND (G45);THUNDERSTORM WIND
TSTM WIND 40;THUNDERSTORM WIND
TSTM WIND 45;THUNDERSTORM WIND
TSTM WIND 50;THUNDERSTORM WIND
TSTM WIND 51;THUNDERSTORM WIND
TSTM WIND 52;THUNDERSTORM WIND
TSTM WIND 55;THUNDERSTORM WIND
TSTM WIND 65);THUNDERSTORM WIND
TSTM WIND AND LIGHTNING;THUNDERSTORM WIND
TSTM WIND DAMAGE;THUNDERSTORM WIND
TSTM WIND G45;THUNDERSTORM WIND
TSTM WIND G58;THUNDERSTORM WIND
TSTM WIND/HAIL;THUNDERSTORM WIND
TSTM WINDS;THUNDERSTORM WIND
TSTM WND;THUNDERSTORM WIND
TSTMW;THUNDERSTORM WIND
TUNDERSTORM WIND;THUNDERSTORM WIND
TYPHOON;HURRICANE (TYPHOON)
UNSEASONABLE COLD;COLD/WIND CHILL
UNSEASONABLY COLD;COLD/WIND CHILL
UNSEASONABLY COOL;COLD/WIND CHILL
UNSEASONABLY COOL & WET;COLD/WIND CHILL
UNSEASONABLY DRY;HEAT
UNSEASONABLY HOT;HEAT
UNSEASONABLY WARM;HEAT
UNSEASONABLY WARM & WET;HEAT
UNSEASONABLY WARM AND DRY;HEAT
UNSEASONABLY WARM YEAR;HEAT
UNSEASONABLY WARM/WET;HEAT
UNSEASONABLY WET;OTHER
UNSEASONAL LOW TEMP;COLD/WIND CHILL
UNSEASONAL RAIN;OTHER
UNUSUAL WARMTH;HEAT
UNUSUAL/RECORD WARMTH;HEAT
UNUSUALLY COLD;COLD/WIND CHILL
UNUSUALLY LATE SNOW;OTHER
UNUSUALLY WARM;HEAT
URBAN AND SMALL;OTHER
URBAN AND SMALL STREAM;OTHER
URBAN AND SMALL STREAM FLOOD;OTHER
URBAN AND SMALL STREAM FLOODIN;FLOOD
URBAN FLOOD;FLOOD
URBAN FLOOD LANDSLIDE;FLOOD
URBAN FLOODING;FLOOD
URBAN FLOODS;FLOOD
URBAN SMALL;OTHER
URBAN SMALL STREAM FLOOD;FLOOD
URBAN/SMALL;OTHER
URBAN/SMALL FLOODING;FLOOD
URBAN/SMALL STREAM;FLOOD
URBAN/SMALL STREAM  FLOOD;FLOOD
URBAN/SMALL STREAM FLOOD;FLOOD
URBAN/SMALL STREAM FLOODING;FLOOD
URBAN/SMALL STRM FLDG;FLOOD
URBAN/SML STREAM FLD;FLOOD
URBAN/SML STREAM FLDG;FLOOD
URBAN/STREET FLOODING;FLOOD
VERY DRY;OTHER
VERY WARM;OTHER
VOG;OTHER
VOLCANIC ASH PLUME;VOLCANIC ASH
VOLCANIC ASHFALL;VOLCANIC ASH
VOLCANIC ERUPTION;VOLCANIC ASH
WAKE LOW WIND;OTHER
WALL CLOUD;OTHER
WALL CLOUD/FUNNEL CLOUD;OTHER
WARM DRY CONDITIONS;HEAT
WARM WEATHER;HEAT
WATER SPOUT;WATERSPOUT
WATERSPOUT-;WATERSPOUT
WATERSPOUT FUNNEL CLOUD;WATERSPOUT
WATERSPOUT TORNADO;WATERSPOUT
WATERSPOUT/;WATERSPOUT
WATERSPOUT/ TORNADO;WATERSPOUT
WATERSPOUT/TORNADO;WATERSPOUT
WATERSPOUTS;WATERSPOUT
WATERSPOUT-TORNADO;WATERSPOUT
WAYTERSPOUT;WATERSPOUT
WET MICOBURST;THUNDERSTORM WIND
WET MICROBURST;THUNDERSTORM WIND
WET MONTH;OTHER
WET SNOW;OTHER
WET WEATHER;OTHER
WET YEAR;OTHER
WHIRLWIND;THUNDERSTORM WIND
WILD FIRES;WILDFIRE
WILD/FOREST FIRE;WILDFIRE
WILD/FOREST FIRES;WILDFIRE
WILDFIRES;WILDFIRE
WIND;OTHER
WIND ADVISORY;OTHER
WIND AND WAVE;OTHER
WIND CHILL;COLD/WIND CHILL
WIND CHILL/HIGH WIND;COLD/WIND CHILL
WIND DAMAGE;STRONG WIND
WIND GUSTS;STRONG WIND
WIND STORM;STRONG WIND
WIND/HAIL;HAIL
WINDS;STRONG WIND
WINTER MIX;WINTER WEATHER
WINTER STORM HIGH WINDS;WINTER STORM
WINTER STORM/HIGH WIND;WINTER STORM
WINTER STORM/HIGH WINDS;WINTER STORM
WINTER STORMS;WINTER STORM
WINTER WEATHER MIX;WINTER WEATHER
WINTER WEATHER/MIX;WINTER WEATHER
WINTERY MIX;WINTER WEATHER
WINTRY MIX;WINTER WEATHER
WND;STRONG WIND
ASTRONOMICAL LOW TIDE;ASTRONOMICAL LOW TIDE
AVALANCHE;AVALANCHE
BLIZZARD;BLIZZARD
COASTAL FLOOD;COASTAL FLOOD
COLD/WIND CHILL;COLD/WIND CHILL
DENSE FOG;DENSE FOG
DENSE SMOKE;DENSE SMOKE
DROUGHT;DROUGHT
DUST DEVIL;DUST DEVIL
DUST STORM;DUST STORM
EXCESSIVE HEAT;EXCESSIVE HEAT
EXTREME COLD/WIND CHILL;EXTREME COLD/WIND CHILL
FLASH FLOOD;FLASH FLOOD
FLOOD;FLOOD
FROST/FREEZE;FROST/FREEZE
FUNNEL CLOUD;FUNNEL CLOUD
FREEZING FOG;FREEZING FOG
HAIL;HAIL
HEAT;HEAT
HEAVY RAIN;HEAVY RAIN
HEAVY SNOW;HEAVY SNOW
HIGH SURF;HIGH SURF
HIGH WIND;HIGH WIND
ICE STORM;ICE STORM
LAKE-EFFECT SNOW;LAKE-EFFECT SNOW
LAKESHORE FLOOD;LAKESHORE FLOOD
LIGHTNING;LIGHTNING
MARINE HAIL;MARINE HAIL
MARINE HIGH WIND;MARINE HIGH WIND
MARINE STRONG WIND;MARINE STRONG WIND
MARINE THUNDERSTORM WIND;MARINE THUNDERSTORM WIND
RIP CURRENT;RIP CURRENT
SEICHE;SEICHE
SLEET;SLEET
STORM SURGE/TIDE;STORM SURGE/TIDE
STRONG WIND;STRONG WIND
THUNDERSTORM WIND;THUNDERSTORM WIND
TORNADO;TORNADO
TROPICAL DEPRESSION;TROPICAL DEPRESSION
TROPICAL STORM;TROPICAL STORM
TSUNAMI;TSUNAMI
VOLCANIC ASH;VOLCANIC ASH
WATERSPOUT;WATERSPOUT
WILDFIRE;WILDFIRE
WINTER STORM;WINTER STORM
WINTER WEATHER;WINTER WEATHER
